6953 472182 1127518 1183041 1285451 1702002 
8685 14106 532893 991961 1502939 1522967 
10673 71396 388336 1193916 1267553 1783039 
12365 96198 148742 216247 303534 312344 
14106 8685 532893 991961 1440693 1502939 
16134 132483 371597 1365958 1440693 1620184 
17945 40090 60459 92685 94458 98068 
19707 356689 844800 1132890 1661081 1685294 
21552 835517 841026 1219306 1224647 1698305 
23405 32675 700208 1149307 1338044 1530138 
25285 325315 455554 623369 828294 973332 
27258 56830 58620 64112 67728 103416 
29090 147079 782684 1002728 1076209 1321991 
30781 19707 356689 844800 1132890 1623853 
32675 125190 256130 336564 616123 1336274 
34588 114345 180951 250855 283438 520094 
36253 667393 756705 851938 1665000 1666846 
38197 745615 1111005 1243726 1466142 1648004 
40090 17945 60459 92685 94458 98068 
41804 186454 747473 1048754 1367749 1825425 
43789 536710 859389 953221 1398726 1559502 
45622 141680 779097 1151165 1167629 1718775 
47477 808165 1232012 1528276 1679616 1766384 
49325 203117 363967 503383 1424391 1716880 
51326 69564 87291 107175 177278 707431 
53169 671046 795170 940074 1046856 1283664 
55010 868148 930489 1074354 1537553 1651769 
56830 27258 58620 64112 67728 103416 
58620 27258 56830 64112 67728 103416 
60459 17945 40090 92685 94458 98068 
62282 197598 590059 837422 1202750 1310516 
64112 27258 56830 58620 67728 103416 
65879 267014 270526 276067 1059824 1143814 
67728 27258 56830 58620 64112 103416 
69564 51326 87291 107175 177278 707431 
71396 388336 619850 738424 1303542 1783039 
73085 170169 367783 901202 1041430 1351280 
74895 101715 1101845 1201060 1308732 1541405 
76597 150548 415266 786240 891918 1087211 
78300 243378 512752 734693 910174 1019267 
80089 440594 573395 842895 919220 1181237 
81883 221702 261515 716711 971642 1739098 
83597 78300 512752 672932 910174 1019267 
85418 381025 1019267 1217485 1294538 1490134 
87291 51326 69564 107175 177278 707431 
89088 171979 736523 824660 1700126 1836484 
90910 288829 795170 940074 1046856 1354983 
92685 17945 40090 60459 94458 98068 
94458 17945 40090 60459 92685 98068 
96198 148742 216247 303534 341918 399170 
98068 17945 40090 60459 92685 94458 
99770 201275 310539 941946 1557669 1825425 
101715 74895 1101845 1201060 1308732 1541405 
103416 27258 56830 58620 64112 67728 
105246 285201 771821 925068 1347506 1506650 
107175 51326 69564 87291 177278 707431 
108882 87291 107175 177278 1061700 1222857 
110680 433476 468461 592010 886464 1786544 
112547 27258 56830 58620 64112 67728 
114345 34588 180951 877452 1258703 1389387 
116029 354858 473866 546011 1011861 1576325 
117795 520094 632502 685737 1321991 1519519 
119543 152265 268793 274139 281599 301693 
121414 184567 277923 692893 936184 1025147 
123308 582569 691064 1096218 1422534 1539391 
125190 256130 265263 525405 866406 1336274 
126974 83597 553254 705637 775457 1598070 
128802 245224 555082 1325466 1554022 1720684 
130759 410032 415266 740124 786240 1087211 
132483 16134 371597 494175 1365958 1775591 
134236 90910 288829 426166 1605460 1823584 
136079 27258 56830 58620 64112 67728 
137808 296103 521798 650634 868148 1312357 
139733 190269 442417 857474 964125 1004416 
141680 305333 586314 1050690 1151165 1455010 
143497 96198 148742 216247 303534 341918 
145259 17945 40090 60459 92685 94458 
147079 1076209 1258703 1389387 1526553 1592789 
148742 96198 216247 303534 341918 399170 
150548 76597 415266 786240 891918 1087211 
152265 119543 268793 274139 281599 301693 
154026 672932 698331 1019267 1590978 1772069 
155880 397191 496014 947669 1644397 1816283 
157717 27258 56830 58620 64112 67728 
159499 899270 934354 1054248 1444334 1758859 
161258 27258 56830 58620 64112 67728 
162989 27258 56830 58620 64112 67728 
164805 318085 984330 1675967 1720684 1816283 
166594 27258 56830 58620 64112 67728 
168379 669265 682114 773741 1449662 1821667 
170169 308778 580774 1041430 1341810 1426232 
171979 89088 736523 824660 1663103 1700126 
173822 821110 997276 1637045 1749757 1838306 
175539 628850 773741 1074354 1447858 1809093 
177278 51326 69564 87291 107175 707431 
179116 27258 56830 58620 64112 67728 
180951 114345 283438 877452 1258703 1389387 
182634 482865 501613 934354 945718 1831022 
184567 121414 277923 692893 936184 1025147 
186454 41804 747473 1048754 1367749 1655472 
188430 27258 56830 58620 64112 67728 
190269 139733 331017 531108 797113 1147427 
192141 17945 40090 60459 92685 94458 
193962 17945 40090 60459 92685 94458 
195695 87291 107175 177278 732835 871910 
197598 536710 1202750 1468125 1559502 1614591 
199474 365857 943835 1398726 1559502 1715095 
201275 99770 223430 1387548 1557669 1825425 
